opportunity_id,title,opportunity_type,global_node_id,global_index_type,country,city_region,primary_discipline,student_level_eligibility,primary_qep_population,opportunity_stage,short_description,related_mercer_experiences,source_system,source_record_id,handshake_url,application_url,mercer_owner,owner_unit,partner_org,visibility_status,admin_status,initial_validator,final_approver,last_validated_date,next_review_due,annual_approval_deadline,record_confidence,is_sample_record,tags
DR-001,Dominican Republic Clean Water Field Research Extension,Research,GIC-DR,Abroad / globally located,Dominican Republic,Punta Cana / partner site,Engineering; Environmental Science,UG primary; open as appropriate,Yes,Exploratory / validate before publication,Field or lab-adjacent research extension for students building from DR clean water/STEM learning work.,MoM Engineering clean water; Fall Break DR sustainable STEM learning pathway,QEP seed/sample,,,,Felix Jelen,OGE / QEP,TBD partner,Hidden,Needs Review,GIC Director / regional lead,QEP Co-Directors,,2026-07-15,2026-08-20,Low - synthetic seed,Yes,DR; water; engineering; research; service
DR-002,Sustainable STEM Learning Environment Service Extension,Service Learning,GIC-DR,Abroad / globally located,Dominican Republic,Punta Cana / school or community partner,Education; Engineering; STEM,UG primary; graduate/professional possible,Yes,Exploratory / validate before publication,Independent service-learning pathway connected to sustainable STEM learning environments in the Dominican Republic.,Fall Break DR EDUC/EGR/IDM sustainable STEM learning courses,QEP seed/sample,,,,Felix Jelen,OGE / QEP,TBD school/community partner,Hidden,Needs Review,GIC Director / regional lead,QEP Co-Directors,,2026-07-15,2026-08-20,Low - synthetic seed,Yes,DR; STEM; education; service
DR-003,Dominican Republic NGO Water Quality Data Internship Pathway,Internship,GIC-DR,Abroad / globally located,Dominican Republic,TBD,Engineering; Data; Public Health,UG primary; open as appropriate,Yes,Handshake/CCPD link needed,"Internship-style opportunity pathway for students with water quality, data, and community engagement interests.",MoM Engineering clean water; statistics/data coursework; Spanish preferred,Handshake placeholder,,TBD,,Felix Jelen,OGE / CCPD / QEP,TBD NGO,Hidden,CCPD Review Needed,GIC Director / regional lead,QEP Co-Directors,,2026-07-15,2026-08-20,Low - synthetic seed,Yes,DR; internship; data; NGO; water
DR-004,Spanish-English Community Education Support Project,Independent Work,GIC-DR,Hybrid / abroad plus onshore preparation,Dominican Republic; United States,Macon + DR partner site,Education; Spanish; Community Engagement,UG primary,Yes,Exploratory / validate before publication,Independent project where students prepare bilingual educational materials or support partner communications before/after DR travel.,Fall Break DR; Spanish coursework; service learning,QEP seed/sample,,,,Felix Jelen,OGE / QEP,TBD partner,Hidden,Needs Review,GIC Director / regional lead,QEP Co-Directors,,2026-07-15,2026-08-20,Low - synthetic seed,Yes,DR; Spanish; education; independent work
DR-005,Dominican Republic Partner Mapping Research Project,Research,GIC-DR,Onshore globally indexed / preparation pathway,Dominican Republic; United States,Macon + remote research,International Studies; Business; Data; Public Health,UG primary,Yes,Ready for internal design,"Student maps organizations, alumni, NGOs, and research/service leads connected to the DR node.",Global Engagement; MoM; QEP student worker/research methods,Internal project,,,,Felix Jelen,OGE / QEP,Internal,Hidden,Needs Review,QEP Database Working Group,QEP Co-Directors,,2026-07-15,2026-08-20,Medium - internal MVP candidate,Yes,DR; partner mapping; research; admin
DR-006,Dominican Republic Global Health and Engineering Shadowing Pathway,Clinical/Shadowing,GIC-DR,Abroad / globally located,Dominican Republic,TBD,Health; Engineering; Public Health,UG primary; health/professional possible,Yes,Exploratory / validate before publication,"Observation/shadowing pathway for students exploring global health, public health infrastructure, and applied engineering contexts.",DR program; health/science coursework; compliance readiness,QEP seed/sample,,,,Felix Jelen,OGE / QEP,TBD clinic/community partner,Hidden,Needs Review,GIC Director / regional lead,QEP Co-Directors,,2026-07-15,2026-08-20,Low - synthetic seed,Yes,DR; health; engineering; shadowing
GR-001,Ancient Corinth Cultural Heritage Research Assistantship,Research,GIC-GR,Abroad / globally located,Greece,Ancient Corinth,Classics; Art History; Philosophy; History,UG primary,Yes,Exploratory / validate before publication,"Research-support pathway connected to cultural heritage, ancient Corinth, and cross-disciplinary GIC work in Greece.",Greece Philosophy and Art; MoM Greece; research methods,QEP seed/sample,,,,Charlotte Thomas / Felix Jelen,QEP / OGE,TBD site/partner,Hidden,Needs Review,GIC Director,QEP Co-Directors,,2026-07-15,2026-08-20,Medium - based on QEP pilot area,Yes,Greece; Corinth; research; heritage
GR-002,East-West Culture and Migration Independent Project,Independent Work,GIC-GR,Abroad / globally located,Greece,Athens / Corinth,Migration Studies; Philosophy; Humanities; Social Science,UG primary,Yes,Exploratory / validate before publication,"Independent project on culture, migration, and East-West encounters that builds from the Greece GIC theme.",Greece GIC; philosophy/art; migration-related coursework,QEP seed/sample,,,,Charlotte Thomas / Felix Jelen,QEP / OGE,TBD partner,Hidden,Needs Review,GIC Director,QEP Co-Directors,,2026-07-15,2026-08-20,Medium - based on QEP theme,Yes,Greece; migration; humanities; independent
GR-003,Greek NGO Migration Services Internship Pathway,Internship,GIC-GR,Abroad / globally located,Greece,Athens / TBD,Migration Studies; Social Work; International Studies,UG primary; graduate/professional possible,Yes,Handshake/CCPD link needed,"Internship-style pathway with migration/refugee support organizations, requiring partner validation and CCPD coordination.",Greece GIC; migration studies; language/cultural preparation,Handshake placeholder,,TBD,,Felix Jelen,OGE / CCPD / QEP,TBD NGO,Hidden,CCPD Review Needed,GIC Director,QEP Co-Directors,,2026-07-15,2026-08-20,Low - synthetic seed,Yes,Greece; NGO; internship; migration
GR-004,Philosophy and Art Advanced Study Portfolio Pathway,Advanced Study,GIC-GR,Abroad / globally located,Greece,Athens / Corinth,Philosophy; Art; Humanities,UG primary,Yes,Exploratory / validate before publication,"Advanced study pathway for students preparing portfolios, conference abstracts, graduate-school statements, or fellowship applications tied to Greece study.",Greece Philosophy and Art; Honors; Fellowships,QEP seed/sample,,,,Charlotte Thomas / Felix Jelen,QEP / Fellowships / OGE,Internal/external TBD,Hidden,Needs Review,GIC Director,QEP Co-Directors,,2026-07-15,2026-08-20,Low - synthetic seed,Yes,Greece; advanced study; portfolio; fellowship
